"gB(gB), created by Plot Digitizer, 2.5.1"
"Date: 7/23/14, 8:21:15 PM"


19
gB,gB
994.595,0.877193
1013.51,0.892788
1032.43,0.896686
1051.35,0.908382
1070.27,0.916179
1086.49,0.927875
1108.11,0.939571
1121.62,0.947368
1145.95,0.959064
1162.16,0.966862
1183.78,0.978558
1208.11,0.986355
1224.32,0.986355
1243.24,0.990253
1264.86,0.998051
1289.19,1.00195
1318.92,1.00195
1351.35,1.00975
1370.27,1.00975
