"gB(gB), created by Plot Digitizer, 2.5.1"
"Date: 7/23/14, 11:01:02 PM"


24
gB,gB
1600.00,1.47368
1629.73,1.45419
1664.86,1.43860
1697.30,1.42300
1732.43,1.39961
1762.16,1.38402
1802.70,1.36452
1829.73,1.45029
1859.46,1.53996
1878.38,1.60234
1897.30,1.66472
1908.11,1.72710
1913.51,1.78168
1918.92,1.83626
1921.62,1.89864
1929.73,1.96881
1935.14,2.02729
1945.95,2.10916
1951.35,2.18324
1959.46,2.23002
1964.86,2.31579
1972.97,2.38207
1978.38,2.42105
1981.08,2.47953
